mean_mfcc1,mean_mfcc2,mean_mfcc3,mean_mfcc4,mean_mfcc5,mean_mfcc6,mean_mfcc7,mean_mfcc8,mean_mfcc9,mean_mfcc10,mean_mfcc11,mean_mfcc12,mean_mfcc13,mean_zcr,mean_centroid,mean_RMSE,label
-376.0515442,27.41707039,-31.72170067,-18.80032539,9.191510201,16.90032005,-4.855585098,13.21093655,-19.86795807,-5.304980755,24.72270775,19.62222672,-13.72628307,0.292131696,2443.919738,0.076885261,0
-256.9121094,65.26703644,-24.95075226,-18.69184113,-7.088819981,13.56669044,-12.1190443,13.73668957,-3.136682272,0.02273323,-1.515679836,11.95593262,-4.982956886,0.258300781,2215.663019,0.071110539,0
-291.6321106,79.80767822,-0.510703146,14.28991985,-10.34290504,-5.70876503,-18.8224678,-12.17411041,-7.154215813,15.04593468,-7.238893032,2.236420631,-9.884706497,0.277018229,1923.488118,0.067482509,4
-308.7772827,106.6228104,11.91796303,21.12654495,9.639360428,8.388348579,3.959081173,7.012552261,-0.997565627,9.88494873,-3.524992943,5.919270515,-1.271876097,0.132161458,1370.258472,0.055600017,4
-387.3077393,116.921875,6.633564949,29.8093605,-3.598255157,2.912595034,-3.015245199,-0.677713811,-3.23515296,6.018420696,-3.23952508,5.228888035,-7.2874856,0.362467448,1429.861209,0.06147524,4
-283.9281616,-22.31968117,-5.78885603,-16.34366798,-7.518908501,8.824034691,-4.292337894,7.430932045,3.478157759,4.339773655,-2.381897211,-4.119893074,0.213137284,0.621419271,4187.976335,0.0595668,3
-282.3517151,59.14020538,-57.53603745,30.51166534,-32.50284195,24.69131088,-14.91558456,16.93018341,3.391371727,-8.015744209,12.190382,-5.287426472,6.792263031,0.374162946,2425.012405,0.039043039,1
-337.3640137,42.94590759,-26.19926643,33.15271759,-0.867010832,-9.365814209,1.259472609,3.001614094,-6.104228973,-0.016711891,-15.05286217,-5.600326538,-9.325282097,0.344238281,2460.47349,0.021859432,4
-352.5794678,1.082180262,-27.43477821,-11.32121372,-7.332540035,13.65785217,14.79714489,16.28705025,-13.5441103,-10.0359621,1.649893641,31.27770424,-7.252377987,0.423177083,3043.444099,0.068293609,0
-366.8732605,70.6633606,-17.05010796,25.50723267,-23.39136124,12.62488365,-23.7224617,-0.628800333,-3.010736704,6.890834808,-10.70038891,2.216794729,0.226573169,0.328776042,2027.063064,0.026497906,2
-315.3294678,39.2199173,32.56189728,10.6615181,-8.185454369,1.249265432,-18.41313171,-2.187835217,-14.11157894,-5.590945721,-6.827134609,-5.81962204,-4.508942604,0.657226563,2862.822755,0.054011788,4
-329.0558777,45.53173065,-56.11251831,-27.42213821,-25.87765312,-3.19064641,3.338522196,19.72873497,-8.823217392,0.379172444,-5.410534859,-2.90174818,-1.166696429,0.324652778,2186.859112,0.054099683,0
-529.2993164,71.95603943,3.30731535,29.22462463,16.03658485,25.05001068,8.97847271,18.88640976,13.86045074,13.39220905,4.770574093,7.677371502,4.876585484,0.108072917,1513.135527,0.008164241,2
-208.3920898,41.16010666,6.10931015,-10.77965641,-24.4705677,7.565681934,-13.93552589,7.273228168,-8.407283783,-0.661148429,5.659226418,-0.177132249,-13.54957199,0.431361607,2804.9642,0.100788578,0
-580.2623901,49.47875595,29.82187462,53.80667496,-10.79251671,37.82352829,-8.682121277,20.62646484,8.864919662,4.50133276,8.728075027,-0.642317891,0.627345502,0.472330729,2231.696577,0.007759952,2
-332.5006409,52.63586807,-62.07444,56.41839218,-34.50446701,26.92385864,-22.96404457,21.27774239,1.020438671,-3.337641239,10.74564362,-0.46419242,5.315793037,0.415039063,2556.60606,0.053192466,1
-500.7944946,89.09702301,-8.615690231,32.12490845,0.028069647,20.66665077,-17.52568054,2.176661015,-0.870050311,13.04593468,-10.40983772,2.952020168,10.51020527,0.186848958,1566.978773,0.007589812,2
-440.0455322,46.36146164,16.99819946,26.24610519,-0.897453308,19.60916138,-2.303762674,10.65868855,1.273128986,9.349168777,7.954589844,3.022586823,5.917104244,0.245117188,2203.304663,0.016946452,2
-158.3761292,22.50053978,7.08965683,3.489024162,-0.152354866,-5.408946037,-4.095180035,-7.693207264,-10.96238899,3.037911177,-11.93314552,-5.563408375,-11.69632721,0.524739583,3327.741141,0.115800843,4
-511.6188354,83.7520752,17.91469765,50.5333252,-3.035843134,-14.79772377,-5.52939415,-11.8627634,-19.51702499,-1.887379766,-18.2157402,-5.395616055,-4.698297977,0.3515625,1587.548489,0.01492461,4
-407.092865,51.34056854,2.790947914,-17.10036087,10.83325672,10.8112421,0.225294635,15.66740417,3.24291873,6.7368083,2.447653055,11.15815926,3.285212755,0.67890625,3073.014517,0.022226084,1
-313.4442749,26.3557663,-14.27713966,6.599215031,18.35474968,30.56156349,-1.953107476,-1.858784318,-17.34488106,8.646271706,17.87259674,-5.603200912,-19.50877762,0.374162946,2631.146579,0.085080601,0
-566.7713623,78.7930603,-11.55287647,36.06862259,6.900928497,33.78287888,-6.588965416,10.11482906,3.558019876,11.62143135,-5.614615917,3.029970646,5.298036575,0.185546875,1614.337855,0.004019415,2
-198.064621,66.61414337,-14.77360725,4.144731998,7.168230534,11.20615196,4.515902042,14.93932819,-14.27167225,-11.0136404,-4.678220272,10.58892155,-3.932415247,0.250217014,2176.659139,0.118947402,0
-279.2252197,51.27427673,-41.8943634,-33.03601837,-23.8612709,-5.024504662,-0.647764027,12.54547977,-7.625871658,1.331171989,-5.431292534,-1.244342566,-4.902986526,0.276692708,2229.682247,0.084049098,0
-367.2127686,15.90673256,-42.15957642,-5.691960812,5.288897038,-1.080355048,-19.05106544,34.03669357,-15.91313457,-9.983085632,19.56567955,10.09305382,-18.81938934,0.318359375,2573.50625,0.063676707,0
-376.815033,79.02767944,-25.68602943,26.85574722,6.276538849,14.99223518,-5.861164093,5.586862564,-2.871316671,7.083909988,-10.30130768,2.057423353,-3.51620698,0.25797526,1951.878077,0.015275411,2
-537.2016602,107.4047928,-0.261363357,-2.840589285,-22.48121834,13.06144714,-5.562069893,7.313316345,-10.57606506,1.673433661,-2.758908033,-1.343390942,-10.05997467,0.345703125,1530.172529,0.00803839,4
-382.2720947,72.9328537,-25.15575027,22.83805847,-12.60582352,21.71040535,-19.91180992,2.852757454,-12.55148506,8.535758972,-8.868185997,-1.692445278,-6.076013088,0.336263021,2103.873025,0.017792577,2
-298.2683411,80.65352631,-35.81782532,11.28355217,0.273270667,7.626008034,0.414322078,0.650916338,-2.99716568,7.317695141,-15.75408077,1.062445402,-9.403999329,0.251790365,1948.778204,0.03265506,2
-180.7817535,23.10003662,-43.60587692,-21.57056427,-3.032196999,0.584591627,-8.183990479,5.237392426,-10.81605053,5.936798096,-1.314736962,-4.74056673,0.238883272,0.325055804,2769.943452,0.134780154,0
-161.9756927,71.83148956,10.79967022,10.05110264,8.365235329,20.48395538,-6.067284107,9.503694534,-5.893706322,7.485011578,2.961308956,-2.429494143,-10.65151215,0.246930804,2095.884324,0.183350563,0
-176.006134,37.5327301,-21.83092308,20.94724464,-4.580907822,-6.548316479,17.53064919,2.155219078,-18.94346428,11.53882504,-19.50671005,-10.73640919,4.377577305,0.35139974,2598.574513,0.176853687,3
-425.9527893,26.56354904,-30.92112732,-1.533550858,-5.996094704,-12.35030365,27.09683228,44.08200073,13.57238579,3.675210476,-28.33687782,-16.26857376,13.77699089,0.295735677,2327.71631,0.029517563,3
